# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
FSXLX  # Fidelity Sustainable Target Date 2035 Fund | Fidelity Advisor Sustainable Target Date 2035 Fund: Class A
FSXWX  # Fidelity Sustainable Target Date 2040 Fund | Fidelity Advisor Sustainable Target Date 2040 Fund: Class A
FSYLX  # Fidelity Sustainable Target Date 2045 Fund | Fidelity Advisor Sustainable Target Date 2045 Fund: Class A
FSYYX  # Fidelity Sustainable Target Date 2050 Fund | Fidelity Advisor Sustainable Target Date 2050 Fund: Class A
FSZJX  # Fidelity Sustainable Target Date 2055 Fund | Fidelity Advisor Sustainable Target Date 2055 Fund: Class A
FSZTX  # Fidelity Sustainable Target Date 2060 Fund | Fidelity Advisor Sustainable Target Date 2060 Fund: Class A
FTGUX  # Fidelity Sustainable Target Date 2065 Fund | Fidelity Advisor Sustainable Target Date 2065 Fund: Class A
FRCWX  # Fidelity Sustainable Target Date 2070 Fund | Fidelity Advisor Sustainable Target Date 2070 Fund: Class A
FLRMX  # Franklin LifeSmart 2020 Retirement Target Fund | Class A
FTRTX  # Franklin LifeSmart 2025 Retirement Target Fund | Class A
FLRSX  # Franklin LifeSmart 2030 Retirement Target Fund | Class A
FRTAX  # Franklin LifeSmart 2035 Retirement Target Fund | Class A
FLADX  # Franklin LifeSmart 2040 Retirement Target Fund | Class A
FTTAX  # Franklin LifeSmart 2045 Retirement Target Fund | Class A
FLSJX  # Franklin LifeSmart 2050 Retirement Target Fund | Class A
FLTFX  # Franklin LifeSmart 2055 Retirement Target Fund | Class A
FLASX  # Franklin LifeSmart 2060 Retirement Target Fund | Class A
FRDGV  # Freedom 2070 Portfolio | Service Class
ZCBA  # Global X Zero Coupon Bond 2030 ETF | Global X Zero Coupon Bond 2030 ETF
BSCU  # Invesco BulletShares 2030 Corporate Bond ETF | Invesco BulletShares 2030 Corporate Bond ETF
BSMU  # Invesco BulletShares 2030 Municipal Bond ETF | Invesco BulletShares 2030 Municipal Bond ETF
JNSAX  # JPMorgan SmartRetirement 2025 Fund | Class A
JSMAX  # JPMorgan SmartRetirement 2030 Fund | Class A
SRJAX  # JPMorgan SmartRetirement 2035 Fund | Class A
SMTAX  # JPMorgan SmartRetirement 2040 Fund | Class A
JSAAX  # JPMorgan SmartRetirement 2045 Fund | Class A
JTSAX  # JPMorgan SmartRetirement 2050 Fund | Class A
JFFAX  # JPMorgan SmartRetirement 2055 Fund | Class A
JAKAX  # JPMorgan SmartRetirement 2060 Fund | Class A
JSMEX  # JPMorgan SmartRetirement 2065 Fund | Class A
JAJKX  # JPMorgan SmartRetirement 2070 Fund | Class A
JAAYX  # JPMorgan SmartRetirement Blend 2060 Fund | Class R6
JSBYX  # JPMorgan SmartRetirement Blend 2065 Fund | Class R6
JAKJX  # JPMorgan SmartRetirement Blend 2070 Fund | Class R6
JBYSX  # JPMorgan SmartRetirement* Blend 2025 Fund | Class R6
